web-scraper-order,web-scraper-start-url,name,name-href
"1611147903-414","https://gs.statcounter.com/social-media-stats/all/afghanistan","Saint Vincent And The Grenadines","https://gs.statcounter.com/social-media-stats/all/saint-vincent-and-the-grenadines"
"1611147903-294","https://gs.statcounter.com/social-media-stats/all/afghanistan","Egypt","https://gs.statcounter.com/social-media-stats/all/egypt"
"1611147903-309","https://gs.statcounter.com/social-media-stats/all/afghanistan","Georgia","https://gs.statcounter.com/social-media-stats/all/georgia"
"1611147903-392","https://gs.statcounter.com/social-media-stats/all/afghanistan","Oman","https://gs.statcounter.com/social-media-stats/all/oman"
"1611147903-447","https://gs.statcounter.com/social-media-stats/all/afghanistan","Tunisia","https://gs.statcounter.com/social-media-stats/all/tunisia"
"1611147903-244","https://gs.statcounter.com/social-media-stats/all/afghanistan","Argentina","https://gs.statcounter.com/social-media-stats/all/argentina"
"1611147903-391","https://gs.statcounter.com/social-media-stats/all/afghanistan","Norway","https://gs.statcounter.com/social-media-stats/all/norway"
"1611147903-276","https://gs.statcounter.com/social-media-stats/all/afghanistan","China","https://gs.statcounter.com/social-media-stats/all/china"
"1611147903-458","https://gs.statcounter.com/social-media-stats/all/afghanistan","Venezuela","https://gs.statcounter.com/social-media-stats/all/venezuela"
"1611147903-338","https://gs.statcounter.com/social-media-stats/all/afghanistan","Jersey","https://gs.statcounter.com/social-media-stats/all/jersey"
